Categories                      ,Product Code,JAN Code     ,Manufacturers               ,Product Name                                                                                                                                ,Product status     ,In-stock Date,Release Date  ,Pre-order Deadline,Number of Pieces                      ,Order Unit,Retail Price,Wholesale Price,URL
Figure・Doll                     ,162565      ,4580590162563,Good Smile Company          ,Harmonia humming Special Outfit Series Flower Print Dress Red Designed by SILVER BUTTERFLY                                                  ,Tentative Pre-order,             ,Within 2022/11,2022-08-14        ,4 setcarton = 4 set                   ,1         ,9091        ,6818           ,https://b2b.mile-stone.jp/en/products/000162565
Figure・Doll                     ,162589      ,4580590162587,Good Smile Company          ,Harmonia humming Special Outfit Series Mod Coat / Khaki Designed by SILVER BUTTERFLY                                                        ,Tentative Pre-order,             ,Within 2022/11,2022-08-14        ,4 piecescarton = 4 pieces             ,1         ,10909       ,8182           ,https://b2b.mile-stone.jp/en/products/000162589
Figure・Doll                     ,162570      ,4580590162570,Good Smile Company          ,Harmonia humming Special Outfit Series Mod Coat / Navy Designed by SILVER BUTTERFLY                                                         ,Tentative Pre-order,             ,Within 2022/11,2022-08-14        ,4 piecescarton = 4 pieces             ,1         ,10909       ,8182           ,https://b2b.mile-stone.jp/en/products/000162570
Figure・Doll                     ,499809      ,4935228499809,KADOKAWA                    ,"Kadokawa Collection ""A Couple of Cuckoos"" Umino Sachi Bunny Girl Ver."                                                                   ,Pre-order          ,             ,Within 2023/3 ,2022-07-31        ,6 piecescarton = 6 pieces             ,1         ,18000       ,14400          ,https://b2b.mile-stone.jp/en/products/000499809
Figure・Doll                     ,945752      ,4580416945752,Good Smile Company          ,POP UP PARADE Hololive Production Minato Aqua                                                                                               ,Pre-order          ,             ,Within 2022/11,2022-07-31        ,12 piecescarton = 12 pieces           ,1         ,5000        ,3750           ,https://b2b.mile-stone.jp/en/products/000945752
Figure・Doll                     ,620777      ,4943209620777,Wave                        ,RB-28 AKADEN Universal Color Ver.                                                                                                           ,Pre-order          ,             ,Within 2022/9 ,2022-07-24        ,12 piecescarton = 12 pieces           ,1         ,9500        ,7600           ,https://b2b.mile-stone.jp/en/products/000620777
Card Supply                     ,200518      ,4582692200518,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Card Binder Shadowverse EVOLVE"                                                                            ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,24 packscarton = 4 box × 6 packs      ,1         ,2545        ,2036           ,https://b2b.mile-stone.jp/en/products/000200518
Card Supply                     ,200373      ,4582692200372,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Storage Box Vol. 3 Shadowverse EVOLVE Crystalia Tia"                                                       ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 piecescarton = 4 box × 12 pieces   ,3         ,800         ,640            ,https://b2b.mile-stone.jp/en/products/000200373
Card Supply                     ,200389      ,4582692200389,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Storage Box Vol. 4 Shadowverse EVOLVE Sea Queen Otohime"                                                   ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 piecescarton = 4 box × 12 pieces   ,3         ,800         ,640            ,https://b2b.mile-stone.jp/en/products/000200389
Card Supply                     ,200396      ,4582692200396,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Storage Box Vol. 5 Shadowverse EVOLVE Daria, Dimensional Witch"                                            ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 piecescarton = 4 box × 12 pieces   ,3         ,800         ,640            ,https://b2b.mile-stone.jp/en/products/000200396
Card Supply                     ,800402      ,4582692200402,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Storage Box Vol. 6 Shadowverse EVOLVE Dark Dragoon Forte"                                                  ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 piecescarton = 4 box × 12 pieces   ,3         ,800         ,640            ,https://b2b.mile-stone.jp/en/products/000800402
Card Supply                     ,800419      ,4582692200419,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Storage Box Vol. 7 Shadowverse EVOLVE Cerberus"                                                            ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 piecescarton = 4 box × 12 pieces   ,3         ,800         ,640            ,https://b2b.mile-stone.jp/en/products/000800419
Card Supply                     ,800426      ,4582692200426,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Storage Box Vol. 8 Shadowverse EVOLVE Vania, Vampire Princess"                                             ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 piecescarton = 4 box × 12 pieces   ,3         ,800         ,640            ,https://b2b.mile-stone.jp/en/products/000800426
Card Supply                     ,200433      ,4582692200433,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Storage Box Vol. 9 Shadowverse EVOLVE Jeanne d'Arc"                                                        ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 piecescarton = 4 box × 12 pieces   ,3         ,800         ,640            ,https://b2b.mile-stone.jp/en/products/000200433
Card Supply                     ,800303      ,4582692200303,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Deck Holder Vol. 3 Shadowverse EVOLVE Crystalia Tia"                                                       ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 packscarton = 4 box × 12 packs     ,3         ,770         ,616            ,https://b2b.mile-stone.jp/en/products/000800303
Card Supply                     ,200315      ,4582692200310,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Deck Holder Vol. 4 Shadowverse EVOLVE Sea Queen Otohime"                                                   ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 packscarton = 4 box × 12 packs     ,3         ,770         ,616            ,https://b2b.mile-stone.jp/en/products/000200315
Card Supply                     ,200328      ,4582692200327,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Deck Holder Vol. 5 Shadowverse EVOLVE Daria, Dimensional Witch"                                            ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 packscarton = 4 box × 12 packs     ,3         ,770         ,616            ,https://b2b.mile-stone.jp/en/products/000200328
Card Supply                     ,200335      ,4582692200334,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Deck Holder Vol. 6 Shadowverse EVOLVE Dark Dragoon Forte"                                                  ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 packscarton = 4 box × 12 packs     ,3         ,770         ,616            ,https://b2b.mile-stone.jp/en/products/000200335
Card Supply                     ,200341      ,4582692200341,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Deck Holder Vol. 7 Shadowverse EVOLVE Cerberus"                                                            ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 packscarton = 4 box × 12 packs     ,3         ,770         ,616            ,https://b2b.mile-stone.jp/en/products/000200341
Card Supply                     ,200351      ,4582692200358,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Deck Holder Vol. 8 Shadowverse EVOLVE Vania, Vampire Princess"                                             ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 packscarton = 4 box × 12 packs     ,3         ,770         ,616            ,https://b2b.mile-stone.jp/en/products/000200351
Card Supply                     ,200366      ,4582692200365,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Deck Holder Vol. 9 Shadowverse EVOLVE Jeanne d'Arc"                                                        ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,48 packscarton = 4 box × 12 packs     ,3         ,770         ,616            ,https://b2b.mile-stone.jp/en/products/000200366
Card Supply                     ,200442      ,4582692200440,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Rubber Mat Vol. 3 Shadowverse EVOLVE Crystalia Tia"                                                        ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,16 piecescarton = 16 pieces           ,1         ,3000        ,2400           ,https://b2b.mile-stone.jp/en/products/000200442
Card Supply                     ,200457      ,4582692200457,Bushiroad                   ,"""Shadowverse EVOLVE"" Official Rubber Mat Vol. 4 Shadowverse EVOLVE Sea Queen Otohime"                                                    ,Pre-order          ,             ,2022/8/26     ,2022-07-10        ,16 piecescarton = 16 pieces           ,1         ,3000        ,2400           ,https://b2b.mile-stone.jp/en/products/000200457
